drug_ID,disease_ID
DB00035,D134430
DB00492,D146255
DB00722,D608622
DB00412,D125850
DB00997,D137215
DB01109,D125310
DB00749,D165720
DB00367,D192000
DB01068,D165720
DB00839,D125850
DB00481,D166710
DB00332,D600807
DB00794,D267740
DB00287,D161900
DB00393,D125310
DB00544,D114480
DB00997,D259500
DB00373,D601682
DB00968,D608622
DB00710,D102500
DB01174,D217200
DB01104,D167870
DB01173,D200170
DB01177,D601626
DB00541,D276300
DB00996,D165199
DB00852,D208550
DB00035,D125700
DB00945,D165720
DB00987,D236000
DB00436,D256370
DB00771,D191390
DB00678,D161900
DB00563,D267730
DB01148,D155100
DB00682,D540000
DB01296,D165720
DB00451,D255900
DB00554,D140600
DB00989,D605055
DB01104,D131300
DB00284,D125850
DB00692,D608622
DB00482,D246470
DB00313,D605055
DB00745,D126200
DB01073,D109543
DB11750,D125600
DB00165,D239350
DB00691,D608622
DB00394,D600807
DB00672,D600496
DB01210,D155100
DB00810,D168100
DB00307,D254400
DB00695,D161900
DB06285,D102500
DB01275,D608622
DB00903,D210050
DB00612,D157700
DB01174,D190310
DB00694,D601626
DB00318,D140600
DB00571,D300125
DB01005,D155601
DB00397,D608088
DB00441,D605839
DB00441,D114480
DB01219,D540000
DB00695,D210050
DB00380,D225740
DB00620,D188030
DB00749,D208230
DB00996,D267740
DB00997,D601626
DB00414,D125851
DB00958,D276300
DB01016,D125851
DB00865,D264120
DB01235,D168100
DB00884,D166710
DB00542,D161900
DB00776,D600131
DB00674,D125320
DB00570,D188030
DB00211,D146500
DB01080,D308350
DB00381,D145500
DB00557,D145590
DB00559,D161900
DB01351,D217200
DB00343,D161900
DB00122,D165720
DB00804,D304790
DB00350,D608622
DB00884,D102500
DB00997,D256700
DB00122,D607459
DB00977,D311360
DB00204,D607554
DB00178,D161900
DB00712,D165720
DB00482,D208230
DB00996,D147530
DB00035,D304900
DB00222,D125851
DB00282,D102500
DB00764,D600807
DB01068,D140600
DB01214,D137760
DB00674,D104300
DB01080,D217200
DB00717,D131200
DB00457,D157950
DB00929,D190310
DB01083,D264120
DB01291,D208550
DB00829,D217200
DB00999,D608622
DB00482,D607850
DB00373,D157300
DB00572,D226150
DB00936,D106400
DB00540,D252320
DB00661,D115000
DB00806,D125310
DB01165,D166760
DB01068,D102100
DB00318,D608088
DB00715,D167870
DB00983,D210050
DB01222,D210050
DB00695,D146255
DB00252,D115000
DB01068,D181500
DB00444,D109543
DB00989,D104300
DB00399,D605839
DB00264,D608583
DB00586,D140600
DB00997,D268220
DB00264,D607554
DB00290,D109543
DB00754,D239350
DB00722,D125310
DB00252,D165199
DB00387,D168600
DB00706,D200170
DB00903,D215140
DB00181,D189600
DB01234,D600351
DB00788,D157300
DB01064,D600807
DB00373,D137750
DB00384,D600351
DB00537,D266600
DB00443,D151590
DB00977,D184700
DB01068,D607850
DB00286,D192000
DB00515,D109800
DB01073,D267730
DB00869,D601682
DB00795,D104130
DB00181,D190400
DB00957,D604416
DB00421,D604416
DB00421,D600351
DB00880,D215140
DB09026,D145500
DB00284,D125851
DB00445,D276300
DB01156,D143465
DB00987,D246470
DB00328,D607459
DB00373,D161900
DB00776,D607628
DB00620,D152700
DB01262,D247200
DB00382,D125320
DB00996,D144110
DB01101,D114480
DB00794,D300491
DB01233,D157300
DB01234,D254400
DB00437,D602068
DB00397,D147540
DB01234,D188030
DB00163,D277460
DB00814,D133690
DB01039,D144010
DB01064,D208550
DB00997,D254500
DB00444,D223350
DB00286,D215470
DB00744,D208550
DB00861,D140600
DB00734,D608033
DB00776,D300491
