drugID,diseaseID,label,split,count_drug,count_disease,q_score_Description,q_score_Pathway,q_score_Slim,p_score_Target,p_score_Category,p_score_Conditions,p_score_Description,p_score_Mechanism,p_score_Pharmacodynamics,p_score_Smile,adj_q_score_Description,adj_q_score_Pathway,adj_q_score_Slim,adj_p_score_Target,adj_p_score_Category,adj_p_score_Conditions,adj_p_score_Description,adj_p_score_Mechanism,adj_p_score_Pharmacodynamics,adj_p_score_Smile,coverage_count,num_preds
DB00505,MESH:D006394,0,train,5.0,1.0,0.5351931,0.0185567010309278,0.0,0.0,0.02,0.0,0.7474929,0.7828814,0.77217126,0.217391304347826,2.6759655,0.092783505154639,0.0,0.0,0.02,0.0,0.7474929,0.7828814,0.77217126,0.217391304347826,5,0
DB00500,MESH:D006985,0,train,6.0,20.0,0.692235,0.1809523809523809,0.25,0.0,0.0470588235294117,0.0,0.8066964,0.8054433,0.79041255,0.2328767123287671,4.15341,1.0857142857142854,1.5,0.0,0.941176470588234,0.0,16.133928,16.108866,15.808251,4.657534246575342,5,0
DB01130,MESH:D009290,0,train,6.0,5.0,0.6031385,0.1520467836257309,0.3333333333333333,0.0,0.1132075471698113,0.0,0.75987494,0.81926674,0.6166196,0.1223021582733813,3.618831,0.9122807017543856,2.0,0.0,0.5660377358490565,0.0,3.7993747,4.0963337,3.083098,0.6115107913669064,5,0
DB01183,MESH:D020294,0,train,1.0,78.0,0.79557896,0.145,0.6666666666666666,0.0,0.125,0.0,0.8392705,0.82879114,0.79921263,0.0655737704918032,0.79557896,0.145,0.6666666666666666,0.0,9.75,0.0,65.463099,64.64570892,62.33858514,5.11475409836065,5,0
DB01956,MESH:D008661,0,train,5.0,43.0,0.6748765,0.1631067961165048,0.5,0.0059171597633136,0.2,0.0,0.73172987,0.7751727,0.75947696,0.1463414634146341,3.3743825,0.815533980582524,2.5,0.2544378698224848,8.6,0.0,31.46438441,33.3324261,32.65750928,6.292682926829267,5,0
DB14509,MESH:D018281,0,train,6.0,100.0,0.82548356,0.3988165680473372,0.3333333333333333,0.0,0.0816326530612244,0.0,0.679399,0.801955,0.7819127,0.0769230769230769,4.95290136,2.392899408284024,2.0,0.0,8.16326530612244,0.0,67.9399,80.1955,78.19127,7.69230769230769,5,0
DB00672,MESH:D008591,0,train,4.0,32.0,0.7328532,0.2142857142857143,0.5,0.0,0.0571428571428571,0.0,0.7671444,0.79308313,0.77160406,0.1637931034482758,2.9314128,0.8571428571428572,2.0,0.0,1.8285714285714272,0.0,24.5486208,25.37866016,24.69132992,5.241379310344826,5,0
DB08916,MESH:D019967,0,train,5.0,2.0,0.54544437,0.0074946466809421,0.0,0.0,0.0384615384615384,0.0,0.7684579,0.82490265,0.6701846,0.1554054054054054,2.7272218500000003,0.0374732334047105,0.0,0.0,0.0769230769230768,0.0,1.5369158,1.6498053,1.3403692,0.3108108108108108,5,0
DB00915,MESH:D054198,0,train,32.0,58.0,0.7250781,0.3265792610250297,0.25,0.0,0.0727272727272727,0.0,0.78373027,0.84661126,0.82358015,0.1195652173913043,23.2024992,10.45053635280095,8.0,0.0,4.218181818181816,0.0,45.45635566,49.10345308,47.7676487,6.934782608695649,5,0
DB09129,MESH:D006620,0,train,2.0,3.0,0.46958995,0.1744186046511627,0.0,0.0,0.0,0.0,0.6745437,0.5256959,0.7182878,0.0,0.9391799,0.3488372093023254,0.0,0.0,0.0,0.0,2.0236311,1.5770877,2.1548634,0.0,5,0
DB00761,MESH:D003639,0,train,10.0,14.0,0.683804,0.0327868852459016,0.6666666666666666,0.0,0.0333333333333333,0.0,0.7222278,0.6545697,0.5734747,0.0,6.83804,0.327868852459016,6.666666666666666,0.0,0.4666666666666662,0.0,10.1111892,9.1639758,8.0286458,0.0,5,0
DB00943,MESH:D009839,0,train,4.0,21.0,0.5781956,0.0632411067193675,1.0,0.0,0.0149253731343283,0.0,0.721601,0.7585926,0.723294,0.1517857142857142,2.3127824,0.25296442687747,4.0,0.0,0.3134328358208943,0.0,15.153621,15.9304446,15.189174,3.1874999999999982,5,0
DB06154,MESH:D003557,0,train,2.0,4.0,0.57820106,0.0543859649122806,0.0,0.0,0.032258064516129,0.0,0.6673815,0.7150779,0.70120144,0.0387096774193548,1.15640212,0.1087719298245612,0.0,0.0,0.129032258064516,0.0,2.669526,2.8603116,2.80480576,0.1548387096774192,5,0
DB01466,MESH:D015526,0,train,4.0,0.0,0.0,0.0,0.0,0.0,0.1636363636363636,0.0,0.78229827,0.8477626,0.7462933,0.1851851851851851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0
DB01558,MESH:D003921,0,train,24.0,12.0,0.63461995,0.5961361545538179,0.5,0.6956521739130435,0.135593220338983,0.0,0.77043116,0.8708662,0.83548313,0.217391304347826,15.2308788,14.30726770929163,12.0,8.347826086956522,1.6271186440677958,0.0,9.24517392,10.4503944,10.02579756,2.608695652173912,5,0
DB01685,MESH:D013494,0,train,4.0,1.0,0.45814312,0.0238805970149253,0.0,0.0,0.1290322580645161,0.0,0.7847823,0.7476966,0.8173908,0.1351351351351351,1.83257248,0.0955223880597012,0.0,0.0,0.1290322580645161,0.0,0.7847823,0.7476966,0.8173908,0.1351351351351351,5,0
DB01436,MESH:D005357,0,train,2.0,14.0,0.76551056,0.1653543307086614,0.5,0.0,0.0298507462686567,0.0,0.8162448,0.83535475,0.7461697,0.1679389312977099,1.53102112,0.3307086614173228,1.0,0.0,0.4179104477611938,0.0,11.4274272,11.6949665,10.4463758,2.3511450381679384,5,0
DB00529,MESH:D013064,0,train,35.0,38.0,0.6117679,0.2379032258064516,1.0,0.0,0.0888888888888888,0.0,0.85747606,0.8328321,0.8402209,0.1555555555555555,21.4118765,8.326612903225806,35.0,0.0,3.377777777777774,0.0,32.58409028,31.6476198,31.928394200000003,5.911111111111109,5,0
DB00579,MESH:D010259,0,train,60.0,14.0,0.81711006,0.1450777202072538,1.0,0.5714285714285714,0.2857142857142857,0.0,0.8983927,0.9020188,0.8854884,0.3529411764705882,49.0266036,8.704663212435227,60.0,8.0,4.0,0.0,12.5774978,12.6282632,12.3968376,4.941176470588235,5,0
DB04576,MESH:D020968,0,train,2.0,8.0,0.7762912,0.0,1.0,0.0,0.1666666666666666,0.0,0.64252067,0.83395076,0.8037,0.1166666666666666,1.5525824,0.0,2.0,0.0,1.3333333333333328,0.0,5.14016536,6.67160608,6.4296,0.9333333333333328,5,0
DB01328,MESH:D018328,0,train,3.0,5.0,0.548371,0.0919117647058823,0.0,0.0,0.0208333333333333,0.0,0.71971524,0.8243545,0.7219611,0.1422413793103448,1.6451130000000005,0.2757352941176469,0.0,0.0,0.1041666666666665,0.0,3.5985762,4.1217725,3.6098055,0.711206896551724,5,0
DB00176,MESH:D051359,0,train,0.0,43.0,0.7434691,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0
DB01043,MESH:D014594,0,train,14.0,31.0,0.6243701,0.3273809523809523,0.2,0.0,0.0535714285714285,0.0,0.75446767,0.8538465,0.84581405,0.1264367816091954,8.7411814,4.583333333333332,2.8000000000000003,0.0,1.6607142857142834,0.0,23.38849777,26.4692415,26.22023555,3.919540229885057,5,0
DB04630,MESH:D058426,0,train,11.0,18.0,0.63962436,0.2443181818181817,0.5,0.0,0.1153846153846153,0.0,0.60377693,0.8008592,0.6789478,0.1666666666666666,7.03586796,2.6874999999999987,5.5,0.0,2.0769230769230758,0.0,10.86798474,14.4154656,12.2210604,2.9999999999999987,5,0
DB00359,MESH:D007896,0,train,4.0,16.0,0.8088912,0.3722943722943723,0.5,0.0,0.1521739130434782,0.0,0.8175634,0.73906285,0.7594512,0.1442307692307692,3.2355648,1.4891774891774892,2.0,0.0,2.434782608695651,0.0,13.0810144,11.8250056,12.1512192,2.307692307692307,5,0
DB05015,MESH:D015209,0,train,8.0,3.0,0.71569943,0.1555555555555555,0.0,0.0,0.1929824561403508,0.0,0.8185941,0.8707474,0.6395384,0.3177570093457944,5.72559544,1.244444444444444,0.0,0.0,0.5789473684210524,0.0,2.4557823,2.6122422,1.9186152,0.9532710280373832,5,0
DB00552,MESH:D007021,0,train,10.0,3.0,0.5589148,0.0459317585301837,0.6666666666666666,0.0,0.0476190476190476,0.0103092783505154,0.7499599,0.8026851,0.7933982,0.1160714285714285,5.589148000000001,0.459317585301837,6.666666666666666,0.0,0.1428571428571428,0.0309278350515462,2.2498797,2.4080553,2.3801946000000003,0.3482142857142855,5,0
DB00830,MESH:D005494,0,train,7.0,13.0,0.69939125,0.0714285714285714,0.0,0.0454545454545454,0.05,0.0,0.7761258,0.8850271,0.81896144,0.2575757575757575,4.8957387500000005,0.4999999999999998,0.0,0.5909090909090902,0.65,0.0,10.0896354,11.5053523,10.64649872,3.348484848484848,5,0
DB00675,MESH:D011469,0,train,4.0,121.0,0.8393061,0.1525423728813559,1.0,0.1176470588235294,0.145631067961165,0.0,0.7566301,0.88667333,0.81873584,0.2230769230769231,3.3572244,0.6101694915254235,4.0,14.235294117647056,17.621359223300967,0.0,91.5522421,107.28747293,99.06703664,26.99230769230769,5,0
DB00482,MESH:D018221,0,train,1.0,76.0,0.72261345,0.3888888888888888,1.0,0.0833333333333333,0.3269230769230769,0.25,0.937959,0.84480166,0.71112,0.217391304347826,0.72261345,0.3888888888888888,1.0,6.333333333333331,24.846153846153847,19.0,71.284884,64.20492616,54.04512,16.521739130434774,5,0
DB01037,MESH:D019446,0,train,9.0,20.0,0.6293909,0.1274509803921568,1.0,0.0,0.2054794520547945,0.0,0.76954395,0.8379323,0.83312607,0.1212121212121212,5.6645181,1.1470588235294112,9.0,0.0,4.10958904109589,0.0,15.390879,16.758646,16.662521400000003,2.424242424242424,5,0
DB01018,MESH:D000275,0,train,0.0,16.0,0.74585503,0.0408163265306122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0
DB06777,MESH:D000075222,0,train,3.0,8.0,0.70608896,0.375886524822695,0.0,0.0,0.1153846153846153,0.0,0.81875366,0.79078627,0.77887416,0.2758620689655172,2.11826688,1.127659574468085,0.0,0.0,0.9230769230769224,0.0,6.55002928,6.32629016,6.23099328,2.206896551724137,5,0
DB04842,MESH:D066253,0,train,5.0,7.0,0.6810912,0.0955056179775281,0.0,0.0,0.1212121212121212,0.0,0.76248056,0.67810106,0.7734531,0.2135416666666666,3.405456,0.4775280898876405,0.0,0.0,0.8484848484848484,0.0,5.33736392,4.74670742,5.4141717,1.4947916666666663,5,0
DB00231,MESH:D012878,0,train,27.0,14.0,0.6313087,0.3998082454458294,0.0,0.0,0.1372549019607843,0.0,0.78879625,0.84626657,0.84205556,0.2809917355371901,17.0453349,10.794822627037393,0.0,0.0,1.92156862745098,0.0,11.0431475,11.84773198,11.78877784,3.933884297520661,5,0
DB00528,MESH:D001169,0,train,25.0,3.0,0.45131654,0.3950413223140495,0.0,0.0,0.1692307692307692,0.0,0.74960387,0.8228155,0.8287556,0.2085889570552147,11.2829135,9.876033057851236,0.0,0.0,0.5076923076923077,0.0,2.24881161,2.4684465,2.4862668,0.6257668711656441,5,0
DB00745,MESH:D019694,0,train,13.0,22.0,0.704582,0.3307692307692308,0.3333333333333333,0.25,0.1466666666666666,0.0,0.66755885,0.8992416,0.8025478,0.1851851851851851,9.159566,4.300000000000001,4.333333333333333,5.5,3.2266666666666657,0.0,14.6862947,19.7833152,17.6560516,4.074074074074072,5,0
DB00964,MESH:D009336,0,train,231.0,8.0,0.6526395,0.3141592920353983,0.5,0.4285714285714285,0.15625,0.1,0.94326425,0.85390484,0.84276795,0.2179487179487179,150.7597245,72.57079646017701,115.5,3.428571428571428,1.25,0.8,7.546114,6.83123872,6.7421436,1.7435897435897432,5,0
DB00067,MESH:D004427,0,train,11.0,7.0,0.57286656,0.0120481927710843,0.0,0.0,0.0357142857142857,0.0,0.77811474,0.6968209,0.78475153,0.1072961373390558,6.301532160000001,0.1325301204819273,0.0,0.0,0.2499999999999999,0.0,5.44680318,4.8777463,5.49326071,0.7510729613733906,5,0
DB00268,MESH:D004749,0,train,1.0,14.0,0.72860193,0.3155339805825242,0.0,0.0,0.0188679245283018,0.0,0.5924246,0.5889113,0.6325946,0.0886075949367088,0.72860193,0.3155339805825242,0.0,0.0,0.2641509433962252,0.0,8.293944399999999,8.2447582,8.8563244,1.2405063291139231,5,0
DB00634,MESH:D009137,0,train,1.0,1.0,0.44576305,0.0307692307692307,0.0,0.0,0.0136986301369863,0.0,0.7139938,0.7139439,0.7519551,0.1153846153846153,0.44576305,0.0307692307692307,0.0,0.0,0.0136986301369863,0.0,0.7139938,0.7139439,0.7519551,0.1153846153846153,5,0
DB01238,MESH:D020246,0,train,56.0,46.0,0.68494326,0.2750809061488672,0.5,0.5098039215686274,0.4444444444444444,0.2631578947368421,0.93194294,0.88561547,0.7712748,0.3050847457627119,38.356822560000005,15.404530744336563,28.0,23.45098039215686,20.444444444444443,12.105263157894736,42.86937524,40.73831162,35.4786408,14.033898305084747,5,0
DB00222,MESH:D015459,0,train,5.0,7.0,0.79163575,0.2853470437017995,0.2,0.0,0.0576923076923076,0.0,0.7580904,0.6529306,0.73964083,0.1463414634146341,3.95817875,1.4267352185089974,1.0,0.0,0.4038461538461532,0.0,5.3066328,4.5705142,5.17748581,1.0243902439024388,5,0
DB00631,MESH:D012769,0,train,24.0,1.0,0.50489986,0.0379965457685664,0.0,0.0,0.3333333333333333,0.0,0.85864145,0.8833585,0.89733493,0.3648648648648648,12.11759664,0.9119170984455937,0.0,0.0,0.3333333333333333,0.0,0.85864145,0.8833585,0.89733493,0.3648648648648648,5,0
DB11431,MESH:D016640,0,train,3.0,2.0,0.51913255,0.1766467065868263,0.0,0.0,0.0,0.0,0.6372655,0.78239846,0.6116565,0.1269841269841269,1.55739765,0.529940119760479,0.0,0.0,0.0,0.0,1.274531,1.56479692,1.223313,0.2539682539682538,5,0
DB00615,MESH:D018200,0,train,2.0,5.0,0.7147622,0.0,0.0,0.0,0.0898876404494382,0.0,0.68991446,0.70843476,0.6699209,0.1282051282051282,1.4295244,0.0,0.0,0.0,0.449438202247191,0.0,3.4495723,3.5421738000000005,3.3496045000000003,0.641025641025641,5,0
DB01219,MESH:D000210,0,train,1.0,33.0,0.7093357,0.0097402597402597,0.5,0.0,0.0833333333333333,0.0,0.81189406,0.6824633,0.7520714,0.06,0.7093357,0.0097402597402597,0.5,0.0,2.749999999999999,0.0,26.79250398,22.5212889,24.8183562,1.98,5,0
DB01050,MESH:D009393,0,train,19.0,102.0,0.7850645,0.3505747126436781,1.0,0.2142857142857142,0.4864864864864865,0.2105263157894736,0.8670764,0.85507095,0.87233293,0.2105263157894736,14.9162255,6.660919540229885,19.0,21.857142857142847,49.62162162162162,21.473684210526304,88.4417928,87.2172369,88.97795886,21.473684210526304,5,0
DB00277,MESH:D006955,0,train,10.0,91.0,0.78028876,0.7619047619047619,1.0,0.0,0.12,0.0,0.7506646,0.8521478,0.8473761,0.1063829787234042,7.8028876,7.619047619047619,10.0,0.0,10.92,0.0,68.3104786,77.5454498,77.1112251,9.680851063829785,5,0
DB06756,MESH:D017094,0,train,5.0,13.0,0.8657371,0.0588235294117647,0.5,0.0,0.064516129032258,0.0,0.7674129,0.7967216,0.8315073,0.1538461538461538,4.328685500000001,0.2941176470588235,2.5,0.0,0.8387096774193539,0.0,9.9763677,10.3573808,10.8095949,1.9999999999999996,5,0
DB00794,MESH:D009503,0,train,80.0,44.0,0.6412911,0.2696969696969696,1.0,0.4324324324324324,0.5384615384615384,0.25,0.93493605,0.8840283,0.820325,0.6428571428571429,51.303288,21.575757575757567,80.0,19.027027027027025,23.69230769230769,11.0,41.1371862,38.8972452,36.0943,28.28571428571429,5,0
DB01155,MESH:D013584,0,train,4.0,1.0,0.75272465,0.0508474576271186,0.0,0.0,0.0727272727272727,0.0,0.7740718,0.8335699,0.88922065,0.1342592592592592,3.0108986,0.2033898305084744,0.0,0.0,0.0727272727272727,0.0,0.7740718,0.8335699,0.88922065,0.1342592592592592,5,0
DB08889,MESH:D001919,0,train,229.0,2.0,0.5024374,0.128589263420724,0.2,0.0,0.2162162162162162,0.0,0.87582546,0.81679374,0.8333043,0.2823529411764706,115.0581646,29.446941323345797,45.8,0.0,0.4324324324324324,0.0,1.75165092,1.63358748,1.6666086,0.5647058823529412,5,0
DB00421,MESH:D050723,0,train,4.0,54.0,0.62769026,0.3018867924528302,0.0,0.0588235294117647,0.074074074074074,0.0,0.87990427,0.82898957,0.7904869,0.0895522388059701,2.51076104,1.2075471698113207,0.0,3.176470588235293,3.999999999999996,0.0,47.51483058,44.76543678,42.6862926,4.835820895522385,5,0
DB08838,MESH:D011644,0,train,8.0,14.0,0.48977077,0.059322033898305,0.0,0.0416666666666666,0.08,0.0,0.6894303,0.81593156,0.7204889,0.0533333333333333,3.91816616,0.47457627118644,0.0,0.5833333333333324,1.12,0.0,9.6520242,11.42304184,10.0868446,0.7466666666666663,5,0
DB01436,MESH:D017098,0,train,1.0,14.0,0.80565774,0.089108910891089,0.25,0.0,0.0,0.0,0.6315856,0.6749651,0.56338125,0.0305343511450381,0.80565774,0.089108910891089,0.25,0.0,0.0,0.0,8.8421984,9.4495114,7.887337499999999,0.4274809160305334,5,0
DB01217,MESH:D066253,0,train,5.0,8.0,0.7284999,0.0712643678160919,0.0,0.0,0.1692307692307692,0.0,0.76069367,0.8086611,0.8836219,0.0914285714285714,3.6424995,0.3563218390804595,0.0,0.0,1.3538461538461537,0.0,6.08554936,6.4692888,7.0689752,0.7314285714285712,5,0
DB09129,MESH:D010510,0,train,3.0,3.0,0.53172004,0.0460048426150121,0.0,0.0,0.073170731707317,0.0,0.595302,0.47252524,0.60881156,0.0,1.5951601199999998,0.1380145278450363,0.0,0.0,0.219512195121951,0.0,1.785906,1.41757572,1.82643468,0.0,5,0
DB00634,MESH:D015461,0,train,1.0,1.0,0.8252238,0.0463917525773195,0.2,0.0,0.0,0.0,0.5953235,0.76282704,0.67475957,0.1386138613861386,0.8252238,0.0463917525773195,0.2,0.0,0.0,0.0,0.5953235,0.76282704,0.67475957,0.1386138613861386,5,0
DB01208,MESH:D059350,0,train,1.0,11.0,0.6100939,0.2068965517241379,1.0,0.0,0.0227272727272727,0.0,0.72041714,0.5150924,0.43536532,0.0842105263157894,0.6100939,0.2068965517241379,1.0,0.0,0.2499999999999997,0.0,7.92458854,5.6660164,4.78901852,0.9263157894736834,5,0
DB00192,MESH:D010049,0,train,7.0,1.0,0.43508667,0.0272108843537415,0.0,0.0,0.0,0.0,0.6782862,0.76902336,0.7819779,0.2586206896551724,3.04560669,0.1904761904761905,0.0,0.0,0.0,0.0,0.6782862,0.76902336,0.7819779,0.2586206896551724,5,0
DB09216,MESH:D015428,0,train,39.0,1.0,0.36871833,0.0021978021978021,0.0,0.3333333333333333,0.3333333333333333,0.0,0.7591536,0.9266418,0.85879135,0.2839506172839506,14.38001487,0.0857142857142818,0.0,0.3333333333333333,0.3333333333333333,0.0,0.7591536,0.9266418,0.85879135,0.2839506172839506,5,0
DB01140,MESH:D018316,0,train,2.0,7.0,0.76840436,0.1428571428571429,0.0,0.0,0.0625,0.0,0.67646986,0.80374324,0.6015773,0.1451612903225806,1.53680872,0.2857142857142858,0.0,0.0,0.4375,0.0,4.73528902,5.62620268,4.2110411,1.0161290322580645,5,0
DB08801,MESH:D017096,0,train,2.0,1.0,0.44289514,0.0275229357798164,0.0,0.0,0.0204081632653061,0.0,0.6784571,0.6366889,0.6505241,0.1395348837209302,0.88579028,0.0550458715596328,0.0,0.0,0.0204081632653061,0.0,0.6784571,0.6366889,0.6505241,0.1395348837209302,5,0
DB01214,MESH:D017202,0,train,100.0,5.0,0.7520329,0.4853801169590643,1.0,1.0,0.6052631578947368,0.0769230769230769,0.90989465,0.8764477,0.8583847,0.3580246913580246,75.20329,48.53801169590643,100.0,5.0,3.026315789473684,0.3846153846153844,4.54947325,4.382238500000001,4.2919235,1.790123456790123,5,0
