drugID,diseaseID,label,split,count_drug,count_disease,q_score_PS,p_score_Target,p_score_Category,p_score_Conditions,p_score_Description,p_score_Mechanism,p_score_Pharmacodynamics,p_score_Smile,adj_q_score_PS,adj_p_score_Target,adj_p_score_Category,adj_p_score_Conditions,adj_p_score_Description,adj_p_score_Mechanism,adj_p_score_Pharmacodynamics,adj_p_score_Smile
DB00286,D176807,1,train,9.0,4.0,0.51079,0.0,0.0833333333333333,0.5,0.8713036,0.81810856,0.69290125,0.209090909090909,4.59711,0.0,0.3333333333333332,2.0,3.4852144,3.27243424,2.771605,0.836363636363636
DB00382,D600351,1,train,15.0,3.0,0.13535,0.0,0.1875,0.0,0.84604514,0.9110237,0.7863103,0.2386363636363636,2.03025,0.0,0.5625,0.0,2.53813542,2.7330711,2.3589309,0.7159090909090908
DB01001,D147530,1,train,59.0,0.0,0.0,1.0,0.5454545454545454,0.0,0.894457,0.81034446,0.89939547,0.3636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB00884,D608622,1,train,51.0,9.0,0.27153,0.0,0.5,0.0,0.9000864,0.891853,0.7435294,0.2941176470588235,13.84803,0.0,4.5,0.0,8.100777599999999,8.026677,6.6917646,2.6470588235294112
DB00749,D147530,1,train,59.0,0.0,0.0,0.4,0.4444444444444444,0.0,0.8991211,0.8749749,0.888175,0.2352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB00491,D161900,1,train,69.0,2.0,0.38439,0.0,0.4285714285714285,0.0,0.81561804,0.87513185,0.85795546,0.7111111111111111,26.52291,0.0,0.857142857142857,0.0,1.63123608,1.7502637,1.71591092,1.4222222222222225
DB00368,D601042,1,train,6.0,2.0,0.25626,0.2272727272727272,0.0821917808219178,0.0,0.80537236,0.81836134,0.79183185,0.2727272727272727,1.53756,0.4545454545454544,0.1643835616438356,0.0,1.61074472,1.63672268,1.5836637,0.5454545454545454
DB00745,D190310,1,train,16.0,6.0,0.26351,0.25,0.1428571428571428,0.0,0.73647404,0.8924264,0.8970819,0.3703703703703703,4.21616,1.5,0.8571428571428568,0.0,4.41884424,5.3545584,5.3824914,2.222222222222222
DB00707,D166710,1,train,5.0,1.0,0.2527,0.0,0.0909090909090909,0.0,0.849926,0.79194146,0.74713624,0.0916976456009913,1.2634999999999998,0.0,0.0909090909090909,0.0,0.849926,0.79194146,0.74713624,0.0916976456009913
DB01035,D144010,1,train,7.0,1.0,0.28917,0.0,0.0714285714285714,0.0,0.83611095,0.74600756,0.8146385,0.1860465116279069,2.02419,0.0,0.0714285714285714,0.0,0.83611095,0.74600756,0.8146385,0.1860465116279069
DB00787,D133600,1,train,4.0,10.0,0.3629,0.0,0.0961538461538461,0.0,0.7200187,0.8255198,0.81097883,0.2195121951219512,1.4516,0.0,0.961538461538461,0.0,7.200187,8.255198,8.1097883,2.195121951219512
DB01067,D181500,1,train,17.0,6.0,0.27436,0.0,0.0869565217391304,0.0,0.74630386,0.71679175,0.8068169,0.208955223880597,4.66412,0.0,0.5217391304347825,0.0,4.47782316,4.3007505,4.8409014,1.2537313432835822
DB00381,D605055,1,train,6.0,2.0,0.51994,0.0,0.0857142857142857,0.0,0.74887204,0.851391,0.8094471,0.1714285714285714,3.1196399999999995,0.0,0.1714285714285714,0.0,1.49774408,1.702782,1.6188942,0.3428571428571428
DB00659,D608583,1,train,6.0,6.0,0.90778,0.0,0.0606060606060606,0.0,0.724943,0.8154371,0.8028971,0.1363636363636363,5.446680000000001,0.0,0.3636363636363636,0.0,4.349658,4.8926226,4.8173826,0.8181818181818178
DB01244,D155601,1,train,4.0,4.0,0.40191,0.0,0.0181818181818181,0.0,0.6842531,0.81924474,0.68048114,0.2043010752688172,1.60764,0.0,0.0727272727272724,0.0,2.7370124,3.27697896,2.72192456,0.8172043010752688
DB00631,D157300,1,train,21.0,16.0,0.21223,0.0,0.4074074074074074,0.0,0.7987051,0.8631332,0.88815,0.2195121951219512,4.45683,0.0,6.518518518518518,0.0,12.7792816,13.8101312,14.2104,3.512195121951219
DB00853,D126200,1,train,9.0,5.0,0.21722,0.0,0.2727272727272727,0.0,0.74046856,0.7110452,0.82121253,0.1518987341772152,1.95498,0.0,1.3636363636363635,0.0,3.7023428,3.555226,4.10606265,0.759493670886076
DB00443,D267730,1,train,5.0,4.0,0.47256,0.0,0.0933333333333333,0.0,0.7413438,0.7996603,0.8552898,0.1440677966101695,2.3628,0.0,0.3733333333333332,0.0,2.9653752,3.1986412,3.4211592,0.576271186440678
DB00747,D607850,1,train,13.0,4.0,0.77658,0.7777777777777778,0.4565217391304347,0.1666666666666666,0.888435,0.7483539,0.86649066,0.618421052631579,10.09554,3.111111111111111,1.8260869565217388,0.6666666666666664,3.55374,2.9934156,3.46596264,2.473684210526316
DB00252,D104130,1,train,7.0,2.0,0.11343,0.0967741935483871,0.2377049180327868,0.0,0.92790544,0.7561685,0.74935997,0.1398601398601398,0.79401,0.1935483870967742,0.4754098360655736,0.0,1.85581088,1.512337,1.49871994,0.2797202797202796
DB00992,D152700,1,train,2.0,8.0,0.39881,0.0,0.0461538461538461,0.0,0.6853811,0.6445445,0.69108146,0.1428571428571428,0.79762,0.0,0.3692307692307688,0.0,5.4830488,5.156356,5.52865168,1.1428571428571423
DB00242,D109543,1,train,9.0,3.0,0.39678,0.0,0.1764705882352941,0.0,0.78725696,0.7932563,0.8775408,0.1188118811881188,3.5710200000000003,0.0,0.5294117647058822,0.0,2.36177088,2.3797689,2.6326224,0.3564356435643564
DB00313,D300125,1,train,7.0,7.0,0.75392,0.1851851851851851,0.1208791208791208,0.0,0.90603244,0.9208264,0.870544,0.2037037037037037,5.27744,1.2962962962962956,0.8461538461538456,0.0,6.342227080000001,6.4457848,6.093808,1.4259259259259258
DB00443,D247640,1,train,13.0,4.0,0.3708,0.0,0.0933333333333333,0.0,0.8242318,0.83722967,0.8552898,0.193103448275862,4.8204,0.0,0.3733333333333332,0.0,3.2969272,3.34891868,3.4211592,0.772413793103448
DB00457,D167870,1,train,11.0,3.0,0.26828,0.1428571428571428,0.1538461538461538,0.0,0.8698896,0.81234324,0.73943067,0.1951219512195122,2.95108,0.4285714285714284,0.4615384615384614,0.0,2.6096688,2.43702972,2.21829201,0.5853658536585367
DB00316,D145590,1,train,18.0,2.0,0.061678,0.2857142857142857,0.208955223880597,0.3333333333333333,0.8730731,0.8855684,0.7648422,0.2424242424242424,1.110204,0.5714285714285714,0.417910447761194,0.6666666666666666,1.7461462,1.7711368,1.5296844,0.4848484848484848
DB01233,D276300,1,train,33.0,13.0,0.21109,0.25,0.2048192771084337,0.0,0.91963816,0.8901719,0.82609963,0.1780821917808219,6.96597,3.25,2.662650602409638,0.0,11.95529608,11.5722347,10.73929519,2.315068493150685
DB01275,D208550,1,train,26.0,0.0,0.0,0.05,0.1451612903225806,0.0,0.8687098,0.89085233,0.8805984,0.2121212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB01204,D161900,1,train,69.0,4.0,0.31345,0.5,0.4680851063829787,0.0,0.86642885,0.9067881,0.8128076,0.191358024691358,21.62805,2.0,1.8723404255319147,0.0,3.4657154,3.6271524,3.2512304,0.765432098765432
DB00586,D600807,1,train,17.0,0.0,0.0,1.0,0.2957746478873239,0.0,0.9327628,0.84673595,0.8562785,0.240506329113924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB01296,D239350,1,train,7.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.7994528,0.79611224,0.8196454,0.0862068965517241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB00716,D215470,1,train,4.0,4.0,0.17947,0.0,0.0222222222222222,0.0,0.7832556,0.8075635,0.8127367,0.1328125,0.71788,0.0,0.0888888888888888,0.0,3.1330224,3.230254,3.2509468,0.53125
DB00787,D133690,1,train,2.0,10.0,0.3629,0.0,0.03125,0.0,0.7780063,0.7429427,0.71289593,0.1157024793388429,0.7258,0.0,0.3125,0.0,7.780063,7.429427,7.1289593,1.157024793388429
DB00491,D146255,1,train,14.0,2.0,0.38439,0.0,0.0416666666666666,0.0,0.7853646,0.85035247,0.8429314,0.2205882352941176,5.381460000000001,0.0,0.0833333333333332,0.0,1.5707292,1.70070494,1.6858628,0.4411764705882352
DB00659,D157300,1,train,21.0,6.0,0.25193,0.2222222222222222,0.0869565217391304,0.0,0.78356266,0.8422998,0.86585087,0.1739130434782608,5.29053,1.3333333333333333,0.5217391304347825,0.0,4.70137596,5.0537988,5.19510522,1.043478260869565
DB00387,D147540,1,train,7.0,5.0,0.10316,0.0,0.0769230769230769,0.0,0.8413828,0.9132918,0.91252524,0.2162162162162162,0.72212,0.0,0.3846153846153844,0.0,4.206914,4.566459,4.5626262,1.081081081081081
DB00363,D161900,1,train,69.0,2.0,0.058819,0.5098039215686274,0.4337349397590361,0.0,0.8543525,0.88561565,0.83181393,0.3469387755102041,4.058511,1.0196078431372548,0.8674698795180722,0.0,1.708705,1.7712313,1.66362786,0.6938775510204082
DB00678,D181500,1,train,17.0,0.0,0.0,0.0,0.2666666666666666,0.0,0.8872808,0.8859982,0.7861155,0.2228915662650602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB00500,D190310,1,train,16.0,1.0,0.079541,1.0,0.46875,0.0,0.8431447,0.7982061,0.8261434,0.2317073170731707,1.272656,1.0,0.46875,0.0,0.8431447,0.7982061,0.8261434,0.2317073170731707
DB09026,D151590,1,train,5.0,1.0,0.15832,0.0,0.1282051282051282,0.0,0.84653515,0.83254135,0.7595575,0.1758241758241758,0.7916,0.0,0.1282051282051282,0.0,0.84653515,0.83254135,0.7595575,0.1758241758241758
DB00694,D215140,1,train,16.0,8.0,0.24799,0.0,0.1860465116279069,0.0,0.81867087,0.7805481,0.85486597,0.1492537313432835,3.96784,0.0,1.4883720930232551,0.0,6.54936696,6.2443848,6.83892776,1.194029850746268
DB01124,D607554,1,train,9.0,0.0,0.0,0.0,0.2307692307692307,0.0,0.86993086,0.794663,0.7755384,0.2833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB00244,D266600,1,train,6.0,0.0,0.0,0.25,0.12,0.0,0.79266095,0.82767296,0.84400904,0.2058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB00715,D600807,1,train,17.0,1.0,0.38905,0.3636363636363636,0.144578313253012,0.0,0.8303917,0.83393586,0.8227633,0.1654135338345864,6.61385,0.3636363636363636,0.144578313253012,0.0,0.8303917,0.83393586,0.8227633,0.1654135338345864
DB00831,D125850,1,train,12.0,2.0,0.89132,0.1818181818181818,0.4047619047619047,0.0,0.8772591,0.9053834,0.8044208,0.3363636363636363,10.69584,0.3636363636363636,0.8095238095238094,0.0,1.7545182,1.8107668,1.6088416,0.6727272727272726
DB00502,D147530,1,train,59.0,1.0,0.14811,0.303030303030303,0.3035714285714285,0.0,0.94522166,0.89914536,0.87592137,0.2913385826771653,8.738489999999999,0.303030303030303,0.3035714285714285,0.0,0.94522166,0.89914536,0.87592137,0.2913385826771653
DB01238,D178600,1,train,4.0,2.0,0.25748,0.0444444444444444,0.0779220779220779,0.0,0.7730635,0.7899957,0.6929153,0.1793103448275862,1.02992,0.0888888888888888,0.1558441558441558,0.0,1.546127,1.5799914,1.3858306,0.3586206896551724
DB00331,D210050,1,train,8.0,2.0,0.11202,0.0,0.0317460317460317,0.0,0.74482065,0.8478868,0.712023,0.0519480519480519,0.89616,0.0,0.0634920634920634,0.0,1.4896413,1.6957736,1.424046,0.1038961038961038
DB00958,D140600,1,train,22.0,2.0,0.11082,0.0,0.2068965517241379,1.0,0.8591867,0.82080686,0.7921833,0.125,2.43804,0.0,0.4137931034482758,2.0,1.7183734,1.64161372,1.5843666,0.25
DB01063,D208550,1,train,26.0,1.0,0.38905,0.2,0.0652173913043478,0.0,0.84626514,0.89943457,0.7706944,0.2467532467532467,10.1153,0.2,0.0652173913043478,0.0,0.84626514,0.89943457,0.7706944,0.2467532467532467
DB00790,D190310,1,train,16.0,14.0,0.29655,0.5,0.3636363636363636,0.0,0.93374395,0.73861086,0.78716594,0.46,4.7448,7.0,5.09090909090909,0.0,13.0724153,10.34055204,11.02032316,6.44
DB00939,D150600,1,train,4.0,6.0,0.37058,0.0,0.0535714285714285,0.0,0.83503705,0.6660096,0.6635273,0.203125,1.48232,0.0,0.321428571428571,0.0,5.0102223,3.9960576,3.9811638,1.21875
DB00695,D300125,1,train,7.0,1.0,0.75392,0.032258064516129,0.0505050505050505,0.0,0.8289139,0.7804537,0.8591919,0.1637931034482758,5.27744,0.032258064516129,0.0505050505050505,0.0,0.8289139,0.7804537,0.8591919,0.1637931034482758
DB00569,D273300,1,train,3.0,5.0,0.38625,0.0,0.0555555555555555,0.0,0.7600576,0.8547292,0.6847204,0.0666666666666666,1.15875,0.0,0.2777777777777774,0.0,3.800288,4.273645999999999,3.423602,0.333333333333333
DB00992,D181000,1,train,3.0,8.0,0.37923,0.0,0.0526315789473684,0.0,0.6853811,0.6445445,0.7509795,0.1428571428571428,1.13769,0.0,0.4210526315789472,0.0,5.4830488,5.156356,6.007836,1.1428571428571423
DB00264,D161900,1,train,69.0,5.0,0.27153,0.6666666666666666,0.5609756097560976,0.0,0.9252018,0.90891314,0.8667238,0.7619047619047619,18.73557,3.333333333333333,2.804878048780488,0.0,4.626009,4.5445657,4.3336190000000006,3.809523809523809
DB00017,D602080,1,train,4.0,3.0,0.29445,0.0,0.0140845070422535,0.0,0.793672,0.87703604,0.7751259,0.05,1.1778,0.0,0.0422535211267605,0.0,2.381016,2.63110812,2.3253777,0.15
DB00290,D267730,1,train,5.0,4.0,0.47256,0.0,0.0333333333333333,0.0,0.7169692,0.70840347,0.8791588,0.1392045454545454,2.3628,0.0,0.1333333333333332,0.0,2.8678768,2.83361388,3.5166352,0.5568181818181815
DB01113,D161900,1,train,69.0,2.0,0.27153,0.1,0.1875,0.0,0.8638849,0.83765364,0.92037827,0.2573529411764705,18.73557,0.2,0.375,0.0,1.7277698,1.67530728,1.84075654,0.514705882352941
DB01223,D164230,1,train,7.0,1.0,0.30068,0.0,0.1129032258064516,0.0,0.87562215,0.86582494,0.7732732,0.1454545454545454,2.10476,0.0,0.1129032258064516,0.0,0.87562215,0.86582494,0.7732732,0.1454545454545454
DB00733,D260970,1,train,2.0,5.0,0.1846,0.0,0.0377358490566037,0.0,0.7283109,0.7269501,0.73340416,0.0786516853932584,0.3692,0.0,0.1886792452830185,0.0,3.6415545,3.6347505,3.6670208,0.393258426966292
DB00449,D275000,1,train,2.0,1.0,0.4486,0.0,0.0,0.0,0.8551341,0.6875236,0.78265643,0.1455696202531645,0.8972,0.0,0.0,0.0,0.8551341,0.6875236,0.78265643,0.1455696202531645
DB01203,D601626,1,train,8.0,7.0,0.36818,0.6666666666666666,0.1590909090909091,0.0,0.79695034,0.88257,0.8819124,0.1711711711711711,2.94544,4.666666666666666,1.1136363636363635,0.0,5.578652379999999,6.177989999999999,6.1733868,1.1981981981981975
DB00489,D300232,1,train,0.0,3.0,0.62291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB00611,D157700,1,train,7.0,1.0,0.27466,0.0,0.1034482758620689,0.0,0.81156343,0.878044,0.8204556,0.1470588235294117,1.92262,0.0,0.1034482758620689,0.0,0.81156343,0.878044,0.8204556,0.1470588235294117
DB00471,D607499,1,train,1.0,5.0,0.339,0.0,0.0357142857142857,0.0,0.8419147,0.60315335,0.78855133,0.0355029585798816,0.339,0.0,0.1785714285714285,0.0,4.2095735,3.01576675,3.94275665,0.177514792899408
DB00619,D165199,1,train,5.0,10.0,0.13028,0.0,0.1927710843373494,0.0,0.87111926,0.82990104,0.66502863,0.1987951807228915,0.6514,0.0,1.927710843373494,0.0,8.7111926,8.2990104,6.6502863,1.987951807228915
DB00413,D125853,1,train,12.0,2.0,0.5926,0.15625,0.119047619047619,0.0,0.8892509,0.8285899,0.87473524,0.1260504201680672,7.1112,0.3125,0.238095238095238,0.0,1.7785018,1.6571798,1.74947048,0.2521008403361344
DB00489,D104130,1,train,7.0,3.0,0.34221,0.0285714285714285,0.1219512195121951,0.0,0.79816043,0.8076421,0.7734355,0.1393442622950819,2.39547,0.0857142857142855,0.3658536585365853,0.0,2.39448129,2.4229263000000003,2.3203065,0.4180327868852457
DB00264,D190300,1,train,3.0,5.0,0.26369,0.0,0.1521739130434782,0.0,0.9353393,0.7739249,0.7923355,0.1619047619047619,0.7910699999999999,0.0,0.7608695652173909,0.0,4.6766965,3.8696245,3.9616775,0.8095238095238095
DB01214,D200170,1,train,10.0,2.0,0.081461,0.1666666666666666,0.3235294117647059,0.0,0.8298925,0.880169,0.8586231,0.1932773109243697,0.8146100000000001,0.3333333333333332,0.6470588235294118,0.0,1.659785,1.760338,1.7172462,0.3865546218487394
DB01137,D147530,1,train,59.0,1.0,0.016521,0.1818181818181818,0.56,0.0,0.92230463,0.9030093,0.86961985,0.4183673469387755,0.974739,0.1818181818181818,0.56,0.0,0.92230463,0.9030093,0.86961985,0.4183673469387755
DB00816,D147480,1,train,0.0,5.0,0.16057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB00983,D246470,1,train,4.0,5.0,0.36669,0.125,0.0941176470588235,0.0,0.7693362,0.77085626,0.7786741,0.2071428571428571,1.46676,0.625,0.4705882352941175,0.0,3.846681,3.8542813,3.8933705,1.0357142857142856
DB00542,D114480,1,train,13.0,3.0,0.35152,0.0,0.1034482758620689,0.0,0.8893629,0.87171364,0.85435283,0.3793103448275862,4.56976,0.0,0.3103448275862067,0.0,2.6680887,2.61514092,2.56305849,1.1379310344827585
DB00775,D300491,1,train,4.0,9.0,0.65516,0.0,0.064516129032258,0.0,0.83136386,0.80002916,0.8293926,0.1818181818181818,2.62064,0.0,0.580645161290322,0.0,7.482274739999999,7.20026244,7.4645334,1.6363636363636362
DB00631,D147540,1,train,7.0,16.0,0.21896,0.6666666666666666,0.59375,0.0,0.8049562,0.9305254,0.8476528,0.6666666666666666,1.53272,10.666666666666666,9.5,0.0,12.8792992,14.8884064,13.5624448,10.666666666666666
DB00422,D200170,1,train,10.0,2.0,0.12571,0.3333333333333333,0.087719298245614,0.0,0.8205303,0.79827464,0.787141,0.2560975609756097,1.2571,0.6666666666666666,0.175438596491228,0.0,1.6410606,1.59654928,1.574282,0.5121951219512194
DB01192,D608622,1,train,51.0,1.0,0.27153,0.0588235294117647,0.4090909090909091,0.0,0.9635545,0.8030235,0.8557974,0.2526315789473684,13.84803,0.0588235294117647,0.4090909090909091,0.0,0.9635545,0.8030235,0.8557974,0.2526315789473684
DB00884,D166300,1,train,3.0,9.0,0.28418,0.0,0.0909090909090909,0.0,0.81867087,0.7908675,0.7083305,0.1458333333333333,0.85254,0.0,0.8181818181818181,0.0,7.36803783,7.1178075,6.3749745,1.3124999999999996
DB00659,D115195,1,train,0.0,6.0,0.21574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB01086,D145500,1,train,4.0,3.0,0.40472,0.0,0.0879120879120879,0.0,0.76260537,0.68454486,0.7620929,0.2753623188405797,1.61888,0.0,0.2637362637362637,0.0,2.28781611,2.05363458,2.2862787,0.8260869565217391
DB01161,D600082,1,train,6.0,4.0,0.062575,0.0384615384615384,0.1142857142857142,0.0909090909090909,0.7810949,0.7426749,0.9279845,0.1764705882352941,0.37545,0.1538461538461536,0.4571428571428568,0.3636363636363636,3.1243796,2.9706996,3.711938,0.7058823529411764
DB01086,D161900,1,train,69.0,3.0,0.28759,0.0909090909090909,0.4117647058823529,0.0,0.8756818,0.89902985,0.79203683,0.6,19.84371,0.2727272727272727,1.2352941176470589,0.0,2.6270454,2.6970895500000003,2.3761104900000003,1.7999999999999998
DB00744,D136200,1,train,1.0,3.0,0.069832,0.0,0.1578947368421052,0.0,0.70727104,0.7232901,0.6734934,0.0918367346938775,0.069832,0.0,0.4736842105263156,0.0,2.12181312,2.1698703000000004,2.0204802,0.2755102040816325
DB01200,D608105,1,train,4.0,8.0,0.57022,0.1363636363636363,0.1428571428571428,0.0,0.76287895,0.83221316,0.76241004,0.1515151515151515,2.28088,1.0909090909090904,1.1428571428571423,0.0,6.1030316,6.65770528,6.09928032,1.212121212121212
DB00323,D278200,1,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB00163,D266120,1,train,0.0,6.0,0.58354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB00502,D145590,1,train,18.0,1.0,0.14811,0.375,0.328125,0.0,0.91210705,0.91415536,0.8706218,0.2909090909090909,2.66598,0.375,0.328125,0.0,0.91210705,0.91415536,0.8706218,0.2909090909090909
DB00714,D167870,1,train,11.0,2.0,0.1085,0.1111111111111111,0.1886792452830188,0.0,0.8495412,0.8304168,0.83948654,0.2210526315789473,1.1935,0.2222222222222222,0.3773584905660376,0.0,1.6990824,1.6608336,1.67897308,0.4421052631578946
DB00883,D102500,1,train,11.0,3.0,0.30391,0.0,0.1020408163265306,0.0,0.849926,0.7213874,0.7639825,0.087378640776699,3.34301,0.0,0.3061224489795918,0.0,2.549778,2.1641622,2.2919475,0.262135922330097
