drugID,diseaseID,label,split,count_drug,count_disease,q_score_PS,p_score_Target,p_score_Category,p_score_Conditions,p_score_Description,p_score_Mechanism,p_score_Pharmacodynamics,p_score_Smile,adj_q_score_PS,adj_p_score_Target,adj_p_score_Category,adj_p_score_Conditions,adj_p_score_Description,adj_p_score_Mechanism,adj_p_score_Pharmacodynamics,adj_p_score_Smile,coverage_count,num_preds
DB00210,D143100,0,train,2.0,1.0,0.10942,0.0,0.0,0.0,0.76924205,0.6173558,0.7283151,0.1327433628318584,0.21884,0.0,0.0,0.0,0.76924205,0.6173558,0.7283151,0.1327433628318584,5,0
DB00710,D300494,0,train,3.0,5.0,0.26358,0.0,0.0476190476190476,0.0,0.70182025,0.6535024,0.7099653,0.087378640776699,0.79074,0.0,0.238095238095238,0.0,3.50910125,3.267512,3.5498265,0.436893203883495,5,0
DB01367,D184700,0,train,4.0,1.0,0.21503,0.0,0.05,0.0,0.8183491,0.7750941,0.57079667,0.1919191919191919,0.86012,0.0,0.05,0.0,0.8183491,0.7750941,0.57079667,0.1919191919191919,5,0
DB00696,D115000,0,train,11.0,4.0,0.060723,0.0,0.1739130434782608,0.0,0.82493633,0.82728964,0.7789192,0.2203389830508474,0.667953,0.0,0.6956521739130432,0.0,3.29974532,3.30915856,3.1156768,0.8813559322033896,5,0
DB01137,D115195,0,train,1.0,2.0,0.11628,0.0,0.0,0.0,0.57865894,0.579541,0.66338694,0.0638297872340425,0.11628,0.0,0.0,0.0,1.15731788,1.159082,1.32677388,0.127659574468085,5,0
DB00318,D273800,0,train,3.0,2.0,0.19746,0.0,0.0677966101694915,0.0,0.7517221,0.73070574,0.80392677,0.1726618705035971,0.59238,0.0,0.135593220338983,0.0,1.5034442,1.46141148,1.60785354,0.3453237410071942,5,0
DB00569,D160750,0,train,1.0,6.0,0.13726,0.0,0.0175438596491228,0.0,0.64652085,0.7986657,0.6822042,0.0403458213256484,0.13726,0.0,0.1052631578947368,0.0,3.8791251,4.7919942,4.0932252,0.2420749279538904,5,0
DB00434,D102300,0,train,8.0,5.0,0.06405,0.1034482758620689,0.175438596491228,0.0,0.84599394,0.8127855,0.8127469,0.2473118279569892,0.5124,0.5172413793103445,0.87719298245614,0.0,4.2299697,4.0639275,4.063734500000001,1.236559139784946,5,0
DB00966,D212140,0,train,1.0,2.0,0.19404,0.0,0.0545454545454545,0.0,0.7473961,0.86146075,0.75913453,0.2428571428571428,0.19404,0.0,0.109090909090909,0.0,1.4947922,1.7229215,1.51826906,0.4857142857142856,5,0
DB00669,D600263,0,train,7.0,3.0,0.21561,0.1428571428571428,0.1095890410958904,0.0,0.830147,0.8403309,0.7366863,0.168141592920354,1.50927,0.4285714285714284,0.3287671232876712,0.0,2.490441,2.5209927,2.2100589,0.504424778761062,5,0
DB00366,D602080,0,train,5.0,3.0,0.12503,0.0,0.0422535211267605,0.0,0.76897925,0.80205595,0.7054104,0.1727272727272727,0.62515,0.0,0.1267605633802815,0.0,2.30693775,2.40616785,2.1162312,0.5181818181818181,5,0
DB00451,D175100,0,train,1.0,1.0,0.10458,0.0,0.0172413793103448,0.0,0.65457714,0.58185756,0.743009,0.1407407407407407,0.10458,0.0,0.0172413793103448,0.0,0.65457714,0.58185756,0.743009,0.1407407407407407,5,0
DB00627,D134750,0,train,1.0,5.0,0.33273,0.0,0.0357142857142857,0.0,0.7910611,0.8464389,0.7344327,0.0821917808219178,0.33273,0.0,0.1785714285714285,0.0,3.9553055,4.2321945,3.6721635,0.410958904109589,5,0
DB01394,D125310,0,train,8.0,2.0,0.13278,0.0,0.0833333333333333,0.0,0.78926915,0.86099184,0.7779842,0.1869158878504672,1.06224,0.0,0.1666666666666666,0.0,1.5785383,1.72198368,1.5559684,0.3738317757009344,5,0
DB00363,D208550,0,train,27.0,3.0,0.13153,0.5,0.25,0.0,0.8602768,0.8277985,0.85107565,0.2689075630252101,3.5513100000000004,1.5,0.75,0.0,2.5808304,2.4833955,2.55322695,0.8067226890756303,5,0
DB00332,D114480,0,train,14.0,1.0,0.087523,0.0,0.119047619047619,0.0,0.87752384,0.8767143,0.81915385,0.2244897959183673,1.225322,0.0,0.119047619047619,0.0,0.87752384,0.8767143,0.81915385,0.2244897959183673,5,0
DB01088,D144110,0,train,5.0,1.0,0.16489,0.0,0.0,0.0,0.7672261,0.8353065,0.87409705,0.0902777777777777,0.82445,0.0,0.0,0.0,0.7672261,0.8353065,0.87409705,0.0902777777777777,5,0
DB00843,D114480,0,train,14.0,1.0,0.087523,0.1333333333333333,0.4545454545454545,0.0,0.92190737,0.82390994,0.8794025,0.2518518518518518,1.225322,0.1333333333333333,0.4545454545454545,0.0,0.92190737,0.82390994,0.8794025,0.2518518518518518,5,0
DB00404,D277440,0,train,2.0,0.0,0.0,0.0,0.0545454545454545,0.0,0.73591214,0.79153836,0.6785803,0.0359712230215827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0
DB00191,D148000,0,train,4.0,3.0,0.1466,0.0,0.12,0.0,0.71745443,0.8231703,0.7830873,0.1733333333333333,0.5864,0.0,0.36,0.0,2.15236329,2.4695109,2.3492619,0.5199999999999999,5,0
DB00284,D165720,0,train,15.0,2.0,0.0,0.0909090909090909,0.3,0.0,0.87620187,0.7669512,0.8215458,0.1176470588235294,0.0,0.1818181818181818,0.6,0.0,1.75240374,1.5339024,1.6430916,0.2352941176470588,5,0
DB00475,D600807,0,train,18.0,2.0,0.04299,0.0,0.1621621621621621,0.0,0.8286305,0.8400297,0.77057976,0.2696629213483146,0.77382,0.0,0.3243243243243242,0.0,1.657261,1.6800594,1.54115952,0.5393258426966292,5,0
DB00191,D606842,0,train,1.0,3.0,0.077581,0.0,0.0,0.0,0.74442023,0.68460083,0.61977947,0.096,0.077581,0.0,0.0,0.0,2.23326069,2.0538024900000003,1.85933841,0.288,5,0
DB00927,D607631,0,train,4.0,2.0,0.15653,0.0,0.0594059405940594,0.0,0.87504965,0.73377305,0.8588414,0.0944881889763779,0.62612,0.0,0.1188118811881188,0.0,1.7500993,1.4675461,1.7176828,0.1889763779527558,5,0
DB00465,D110100,0,train,6.0,1.0,0.23975,0.0,0.048780487804878,0.0,0.88898146,0.87470317,0.78735805,0.18,1.4385,0.0,0.048780487804878,0.0,0.88898146,0.87470317,0.78735805,0.18,5,0
DB00445,D144110,0,train,5.0,3.0,0.090758,0.0,0.0256410256410256,0.0,0.70539355,0.73889524,0.7396618,0.1233766233766233,0.45379,0.0,0.0769230769230767,0.0,2.11618065,2.21668572,2.2189854,0.3701298701298699,5,0
DB00716,D146110,0,train,1.0,5.0,0.37762,0.0,0.0512820512820512,0.0,0.7320324,0.835037,0.5882941,0.2045454545454545,0.37762,0.0,0.256410256410256,0.0,3.660162,4.175185,2.9414705000000003,1.0227272727272725,5,0
DB01062,D604416,0,train,14.0,1.0,0.076531,0.0,0.1818181818181818,0.0,0.768504,0.88742316,0.8218153,0.2113821138211382,1.071434,0.0,0.1818181818181818,0.0,0.768504,0.88742316,0.8218153,0.2113821138211382,5,0
DB00216,D102500,0,train,12.0,6.0,0.16824,0.0,0.1016949152542373,0.0,0.82311594,0.7501038,0.77813864,0.2608695652173913,2.01888,0.0,0.6101694915254238,0.0,4.93869564,4.5006228,4.66883184,1.5652173913043477,5,0
DB00399,D168100,0,train,14.0,2.0,0.22837,0.0,0.037037037037037,0.0,0.83913636,0.63878757,0.81671727,0.1216216216216216,3.19718,0.0,0.074074074074074,0.0,1.67827272,1.27757514,1.63343454,0.2432432432432432,5,0
DB00549,D148000,0,train,4.0,1.0,0.10275,0.0,0.037037037037037,0.0,0.87238586,0.8315003,0.74506104,0.3356643356643357,0.411,0.0,0.037037037037037,0.0,0.87238586,0.8315003,0.74506104,0.3356643356643357,5,0
DB00957,D131300,0,train,4.0,4.0,0.19437,0.0,0.087719298245614,0.0,0.8224312,0.84562886,0.8874255,0.1379310344827586,0.77748,0.0,0.350877192982456,0.0,3.2897248,3.38251544,3.549702,0.5517241379310344,5,0
DB00397,D165150,0,train,0.0,2.0,0.039799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0
DB01177,D230800,0,train,1.0,6.0,0.25795,0.0,0.0555555555555555,0.0,0.5981285,0.55631536,0.701842,0.1357142857142857,0.25795,0.0,0.333333333333333,0.0,3.5887709999999995,3.33789216,4.211052,0.8142857142857143,5,0
DB01156,D605021,0,train,2.0,1.0,0.052932,0.0,0.1346153846153846,0.0,0.89990824,0.8336797,0.6277845,0.1214285714285714,0.105864,0.0,0.1346153846153846,0.0,0.89990824,0.8336797,0.6277845,0.1214285714285714,5,0
DB00199,D608622,0,train,52.0,1.0,0.0,0.125,0.2258064516129032,0.0,0.79934895,0.81452924,0.8009354,0.2036363636363636,0.0,0.125,0.2258064516129032,0.0,0.79934895,0.81452924,0.8009354,0.2036363636363636,5,0
DB00852,D607682,0,train,5.0,3.0,0.11183,0.054054054054054,0.0845070422535211,0.0,0.78960884,0.82889503,0.753043,0.1333333333333333,0.55915,0.162162162162162,0.2535211267605632,0.0,2.36882652,2.48668509,2.259129,0.3999999999999999,5,0
DB00262,D246400,0,train,0.0,5.0,0.24841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0
DB01073,D268220,0,train,4.0,3.0,0.20746,0.0,0.1578947368421052,0.0,0.6853934,0.8306598,0.7633716,0.0927152317880794,0.82984,0.0,0.4736842105263156,0.0,2.0561802,2.4919794,2.2901148,0.2781456953642382,5,0
DB00829,D312910,0,train,1.0,0.0,0.0,0.0,0.0338983050847457,0.0,0.46575385,0.67394435,0.5943823,0.094017094017094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0
DB00745,D277350,0,train,2.0,7.0,0.24938,0.0,0.0,0.0,0.59705347,0.69242764,0.58948123,0.2134831460674157,0.49876,0.0,0.0,0.0,4.17937429,4.84699348,4.12636861,1.49438202247191,5,0
DB00917,D211980,0,train,1.0,1.0,0.041535,0.0,0.0,0.0,0.6614307,0.7817595,0.69533414,0.0967741935483871,0.041535,0.0,0.0,0.0,0.6614307,0.7817595,0.69533414,0.0967741935483871,5,0
DB00672,D308350,0,train,2.0,3.0,0.31299,0.0,0.0454545454545454,0.0,0.79565984,0.8026041,0.8117354,0.1258741258741259,0.62598,0.0,0.1363636363636362,0.0,2.38697952,2.4078123,2.4352062,0.3776223776223776,5,0
DB00722,D602522,0,train,1.0,1.0,0.09883,0.0,0.0,0.0,0.7737552,0.76888394,0.5900132,0.1319444444444444,0.09883,0.0,0.0,0.0,0.7737552,0.76888394,0.5900132,0.1319444444444444,5,0
DB00394,D231900,0,train,1.0,1.0,0.0,0.0,0.1129032258064516,0.0,0.66536915,0.6852871,0.7287097,0.0969696969696969,0.0,0.0,0.1129032258064516,0.0,0.66536915,0.6852871,0.7287097,0.0969696969696969,5,0
DB00530,D254770,0,train,0.0,1.0,0.24932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0
DB01399,D150699,0,train,1.0,2.0,0.15424,0.0,0.0,0.0,0.5750567,0.5790019,0.6108652,0.1090225563909774,0.15424,0.0,0.0,0.0,1.1501134,1.1580038,1.2217304,0.2180451127819548,5,0
DB00451,D133600,0,train,5.0,1.0,0.0,0.0,0.0222222222222222,0.0,0.8742609,0.77110285,0.7495162,0.1168831168831168,0.0,0.0,0.0222222222222222,0.0,0.8742609,0.77110285,0.7495162,0.1168831168831168,5,0
DB00480,D263800,0,train,1.0,2.0,0.18801,0.0,0.0465116279069767,0.0,0.70048445,0.66458404,0.6010437,0.1894736842105263,0.18801,0.0,0.0930232558139534,0.0,1.4009689,1.32916808,1.2020874,0.3789473684210526,5,0
DB00368,D189600,0,train,2.0,3.0,0.30168,0.0,0.0483870967741935,0.0,0.80537236,0.802088,0.8521365,0.2727272727272727,0.60336,0.0,0.1451612903225805,0.0,2.4161170800000003,2.406264,2.5564095,0.8181818181818181,5,0
DB00337,D125310,0,train,8.0,3.0,0.10374,0.0,0.15,0.0,0.70893145,0.866194,0.71937007,0.1256544502617801,0.82992,0.0,0.4499999999999999,0.0,2.12679435,2.598582,2.15811021,0.3769633507853402,5,0
DB00179,D165199,0,train,6.0,0.0,0.0,0.0,0.0697674418604651,0.0,0.7265354,0.8323758,0.7766413,0.1764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0
DB01169,D107650,0,train,1.0,1.0,0.2101,0.0,0.025,0.0,0.7818753,0.7209852,0.6924356,0.0178571428571428,0.2101,0.0,0.025,0.0,0.7818753,0.7209852,0.6924356,0.0178571428571428,5,0
DB00758,D145200,0,train,1.0,2.0,0.22832,0.0,0.0,0.0,0.73635644,0.8290593,0.42443898,0.2,0.22832,0.0,0.0,0.0,1.47271288,1.6581186,0.84887796,0.4,5,0
DB00484,D155601,0,train,5.0,2.0,0.0,0.0434782608695652,0.1282051282051282,0.0,0.8724695,0.8440888,0.6821937,0.1358024691358024,0.0,0.0869565217391304,0.2564102564102564,0.0,1.744939,1.6881776,1.3643874,0.2716049382716048,5,0
DB01128,D114550,0,train,1.0,3.0,0.32326,0.0,0.0169491525423728,0.0,0.53600246,0.74044746,0.6811362,0.1030927835051546,0.32326,0.0,0.0508474576271184,0.0,1.60800738,2.22134238,2.0434086,0.3092783505154638,5,0
DB01177,D601042,0,train,7.0,6.0,0.093476,0.0,0.1,0.0,0.78433776,0.7434242,0.76722527,0.2209944751381215,0.654332,0.0,0.6000000000000001,0.0,4.70602656,4.4605452,4.60335162,1.325966850828729,5,0
DB01075,D144700,0,train,8.0,1.0,0.12249,0.0625,0.1142857142857142,0.0,0.87015384,0.78650314,0.79512256,0.2577319587628865,0.97992,0.0625,0.1142857142857142,0.0,0.87015384,0.78650314,0.79512256,0.2577319587628865,5,0
DB00353,D109800,0,train,5.0,0.0,0.0,0.0,0.119047619047619,0.0,0.80698603,0.7769973,0.79307246,0.1727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0
DB01033,D157950,0,train,3.0,3.0,0.030171,0.0,0.0,0.0,0.7052731,0.81188357,0.680968,0.078125,0.090513,0.0,0.0,0.0,2.1158193,2.43565071,2.042904,0.234375,5,0
DB00476,D254450,0,train,1.0,1.0,0.0,0.0,0.064516129032258,0.0,0.6139448,0.8505443,0.69014084,0.1886792452830188,0.0,0.0,0.064516129032258,0.0,0.6139448,0.8505443,0.69014084,0.1886792452830188,5,0
DB00794,D125851,0,train,11.0,1.0,0.12258,0.0,0.1228070175438596,0.0,0.8334562,0.87856704,0.8097018,0.1818181818181818,1.34838,0.0,0.1228070175438596,0.0,0.8334562,0.87856704,0.8097018,0.1818181818181818,5,0
DB00248,D208750,0,train,1.0,1.0,0.0,0.0,0.0754716981132075,0.0,0.8017256,0.7590016,0.5659092,0.1228070175438596,0.0,0.0,0.0754716981132075,0.0,0.8017256,0.7590016,0.5659092,0.1228070175438596,5,0
DB00899,D259660,0,train,1.0,1.0,0.0,0.0,0.0,0.0,0.46516415,0.6047968,0.56747705,0.0689655172413793,0.0,0.0,0.0,0.0,0.46516415,0.6047968,0.56747705,0.0689655172413793,5,0
DB00227,D173200,0,train,1.0,1.0,0.14926,0.0,0.2753623188405797,0.0,0.6837253,0.6733861,0.717623,0.0804597701149425,0.14926,0.0,0.2753623188405797,0.0,0.6837253,0.6733861,0.717623,0.0804597701149425,5,0
DB02546,D125852,0,train,1.0,2.0,0.1577,0.0,0.1111111111111111,0.0,0.83409524,0.73451996,0.0,0.1396396396396396,0.1577,0.0,0.2222222222222222,0.0,1.66819048,1.46903992,0.0,0.2792792792792792,5,0
DB00764,D208920,0,train,2.0,1.0,0.16941,0.0,0.0222222222222222,0.0,0.60006356,0.81937116,0.67608714,0.1016949152542373,0.33882,0.0,0.0222222222222222,0.0,0.60006356,0.81937116,0.67608714,0.1016949152542373,5,0
DB00381,D146110,0,train,1.0,3.0,0.17352,0.0,0.015625,0.0,0.6750307,0.76131624,0.8327399,0.1726618705035971,0.17352,0.0,0.046875,0.0,2.0250921,2.28394872,2.4982197,0.5179856115107913,5,0
DB00586,D607682,0,train,5.0,1.0,0.0,0.0,0.0984848484848484,0.0,0.8787794,0.81001985,0.75964355,0.140495867768595,0.0,0.0,0.0984848484848484,0.0,0.8787794,0.81001985,0.75964355,0.140495867768595,5,0
DB00652,D143880,0,train,5.0,5.0,0.1296,0.0,0.0208333333333333,0.0,0.74324393,0.6842916,0.75506425,0.158273381294964,0.6479999999999999,0.0,0.1041666666666665,0.0,3.71621965,3.421458,3.77532125,0.7913669064748199,5,0
DB01019,D161900,0,train,70.0,1.0,0.058819,0.7142857142857143,0.1428571428571428,0.0,0.8437779,0.8523647,0.7689561,0.1785714285714285,4.11733,0.7142857142857143,0.1428571428571428,0.0,0.8437779,0.8523647,0.7689561,0.1785714285714285,5,0
DB01241,D119500,0,train,1.0,2.0,0.059312,0.0,0.0579710144927536,0.0,0.79771847,0.61153483,0.5594443,0.1949152542372881,0.059312,0.0,0.1159420289855072,0.0,1.59543694,1.22306966,1.1188886,0.3898305084745762,5,0
DB00757,D270960,0,train,1.0,2.0,0.060114,0.0,0.0263157894736842,0.0,0.777879,0.77599984,0.53985465,0.1764705882352941,0.060114,0.0,0.0526315789473684,0.0,1.555758,1.55199968,1.0797093,0.3529411764705882,5,0
DB00181,D131300,0,train,4.0,8.0,0.28616,0.0,0.0701754385964912,0.0,0.80229557,0.8040558,0.8163276,0.2051282051282051,1.14464,0.0,0.5614035087719296,0.0,6.41836456,6.4324464,6.5306208,1.6410256410256407,5,0
DB00598,D266600,0,train,7.0,4.0,0.25081,0.0,0.0869565217391304,0.0,0.85517293,0.77423036,0.76443267,0.3333333333333333,1.7556699999999998,0.0,0.3478260869565216,0.0,3.42069172,3.09692144,3.05773068,1.3333333333333333,5,0
DB00492,D260480,0,train,1.0,1.0,0.014741,0.0,0.1052631578947368,0.0,0.8669418,0.7319019,0.7441832,0.1474358974358974,0.014741,0.0,0.1052631578947368,0.0,0.8669418,0.7319019,0.7441832,0.1474358974358974,5,0
DB00630,D241100,0,train,2.0,1.0,0.025256,0.0,0.0,0.0,0.73299104,0.77024853,0.69396526,0.0526315789473684,0.050512,0.0,0.0,0.0,0.73299104,0.77024853,0.69396526,0.0526315789473684,5,0
DB01148,D189600,0,train,2.0,2.0,0.070935,0.0,0.0952380952380952,0.0,0.79690325,0.7769683,0.80155975,0.2016806722689075,0.14187,0.0,0.1904761904761904,0.0,1.5938065,1.5539366,1.6031195,0.403361344537815,5,0
DB11750,D182000,0,train,0.0,2.0,0.10776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0
DB00162,D148100,0,train,1.0,1.0,0.075592,0.0,0.0,0.0,0.6607635,0.57231915,0.66726965,0.064516129032258,0.075592,0.0,0.0,0.0,0.6607635,0.57231915,0.66726965,0.064516129032258,5,0
DB00532,D540000,0,train,4.0,1.0,0.32571,0.0,0.1320754716981132,0.0,0.8292347,0.7931756,0.7948976,0.2,1.30284,0.0,0.1320754716981132,0.0,0.8292347,0.7931756,0.7948976,0.2,5,0
DB00536,D140300,0,train,1.0,3.0,0.26146,0.0,0.0416666666666666,0.0,0.5566441,0.50089324,0.683155,0.0294117647058823,0.26146,0.0,0.1249999999999998,0.0,1.6699323,1.5026797200000002,2.049465,0.0882352941176469,5,0
DB00644,D175100,0,train,1.0,1.0,0.10458,0.0,0.0,0.0,0.5017106,0.7876299,0.71013296,0.1198630136986301,0.10458,0.0,0.0,0.0,0.5017106,0.7876299,0.71013296,0.1198630136986301,5,0
DB01118,D267740,0,train,4.0,1.0,0.0,0.0384615384615384,0.2432432432432432,0.0,0.8186778,0.8811523,0.80971843,0.1780821917808219,0.0,0.0384615384615384,0.2432432432432432,0.0,0.8186778,0.8811523,0.80971843,0.1780821917808219,5,0
DB03796,D145600,0,train,1.0,0.0,0.0,0.0,0.0277777777777777,0.0,0.46976602,0.5625634,0.62452626,0.018348623853211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0
DB01231,D266120,0,train,1.0,1.0,0.13937,0.0,0.0,0.0,0.7095417,0.80914915,0.7437508,0.0629370629370629,0.13937,0.0,0.0,0.0,0.7095417,0.80914915,0.7437508,0.0629370629370629,5,0
DB00655,D147540,0,train,8.0,2.0,0.022781,0.0,0.1351351351351351,0.0,0.80857444,0.72613007,0.7484578,0.1553398058252427,0.182248,0.0,0.2702702702702702,0.0,1.61714888,1.45226014,1.4969156,0.3106796116504854,5,0
DB00262,D147540,0,train,8.0,5.0,0.10851,0.0,0.2285714285714285,0.0,0.8760756,0.9063339,0.849424,0.0512820512820512,0.86808,0.0,1.1428571428571426,0.0,4.380377999999999,4.5316695000000005,4.24712,0.256410256410256,5,0
DB01019,D304790,0,train,8.0,1.0,0.10094,0.0,0.0606060606060606,0.0,0.8275599,0.83789146,0.8589851,0.1016949152542373,0.80752,0.0,0.0606060606060606,0.0,0.8275599,0.83789146,0.8589851,0.1016949152542373,5,0
DB00471,D131200,0,train,9.0,6.0,0.12253,0.1666666666666666,0.1111111111111111,0.0,0.8628529,0.76946557,0.83613884,0.2364864864864864,1.10277,0.9999999999999996,0.6666666666666666,0.0,5.1771174,4.6167934200000005,5.01683304,1.4189189189189184,5,0
DB00232,D150600,0,train,5.0,1.0,0.20721,0.0,0.0333333333333333,0.0,0.8555133,0.8053697,0.75973773,0.1304347826086956,1.03605,0.0,0.0333333333333333,0.0,0.8555133,0.8053697,0.75973773,0.1304347826086956,5,0
DB01018,D125851,0,train,11.0,3.0,0.091787,0.0625,0.1489361702127659,0.0,0.8707892,0.85102206,0.8074305,0.2441860465116279,1.009657,0.1875,0.4468085106382977,0.0,2.6123676,2.55306618,2.4222915,0.7325581395348837,5,0
DB00945,D151400,0,train,3.0,1.0,0.16632,0.0,0.0595238095238095,0.0,0.7973327,0.77334005,0.7292536,0.1769911504424778,0.4989599999999999,0.0,0.0595238095238095,0.0,0.7973327,0.77334005,0.7292536,0.1769911504424778,5,0
DB00230,D601042,0,train,7.0,2.0,0.1832,0.0,0.25,0.0,0.87932587,0.8083174,0.53655946,0.2692307692307692,1.2824,0.0,0.5,0.0,1.75865174,1.6166348,1.07311892,0.5384615384615384,5,0
DB00674,D160300,0,train,1.0,2.0,0.077249,0.0,0.0,0.0,0.6856618,0.49654174,0.58238626,0.036144578313253,0.077249,0.0,0.0,0.0,1.3713236,0.99308348,1.16477252,0.072289156626506,5,0
DB00461,D157950,0,train,3.0,0.0,0.0,1.0,0.2571428571428571,0.0,0.8227509,0.88928044,0.781149,0.216867469879518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0
DB00580,D102400,0,train,1.0,1.0,0.075982,0.0,0.05,0.0,0.8252925,0.61608493,0.55932355,0.0333333333333333,0.075982,0.0,0.05,0.0,0.8252925,0.61608493,0.55932355,0.0333333333333333,5,0
DB00672,D607554,0,train,10.0,3.0,0.14337,0.5,0.7142857142857143,0.0,0.8765862,0.9119417,0.90891933,0.6666666666666666,1.4337,1.5,2.142857142857143,0.0,2.6297586,2.7358251,2.7267579900000003,2.0,5,0
DB00398,D155600,0,train,4.0,7.0,0.32532,0.0,0.1159420289855072,0.0,0.70958626,0.6567214,0.7816044,0.1794871794871795,1.30128,0.0,0.8115942028985504,0.0,4.96710382,4.5970498,5.4712308,1.2564102564102564,5,0
DB11750,D218200,0,train,2.0,2.0,0.19626,0.0,0.0566037735849056,0.0,0.7777455,0.19795512,0.0,0.0977443609022556,0.39252,0.0,0.1132075471698112,0.0,1.555491,0.39591024,0.0,0.1954887218045112,5,0
DB01248,D125853,0,train,13.0,3.0,0.1353,0.0,0.1265822784810126,0.0,0.76175714,0.8415333,0.7869054,0.1773399014778325,1.7589,0.0,0.3797468354430378,0.0,2.28527142,2.5245999,2.3607162,0.5320197044334974,5,0
